ResourceID,External Cross Reference Notes,Storage Area Name,Journal or Series Volume Description,Title Type,Quantity,Contributor,Publisher Name,Creator,Road or Street Name,Archive Description Type,Repository Name,Subjects,Archive End Date,Journal or Series Name,Resource ID,Copyright Description,Archive Description text,Extent Measurement Unit,Amender,Archive Start Date,Number in Road or Street,Archive Source Format,Source Title,Archive Source Type,Publication Location Name,Periods,External Cross Reference Number,Language,Postal Code,Language,External Cross Reference Source,Copyright Type,Journal or Series Pages,Date of Publication,File,Statement of Responsibility
00eccc49-002f-46d9-bf0b-e225214d81a5,,,,,,,,,,,,,,,,,,,,,,,"John of Gaunts Mansion, Lincoln",Drawing,,,1806,,,,Lincoln Heritage Database Sources,,,1840,,"Buckler, J. C."
01ef313b-1d57-4ab1-ba77-8534e446ef68,,,,,,,,,,,,,1786,,,,,,,1784,,,"Lincoln, Bishops Palace. Alnwick Tower from the south west",Drawing,,,2635,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
02841d5f-9db4-4869-8d88-bf7ece645aea,,,,,,,,,,,,,,,,,,,,,,,"Lincoln, New St Marks Church",Drawing,,,1504,,,,Lincoln Heritage Database Sources,,,1786,,"Grimm, Samuel Hieronymous"
036f0c17-a9f9-4074-87a0-50e44c611771,,,,,,,,,,,,,,,,,,,,,,,"Voluntary Observations of interventions by staff of the Heritage Team, Lincoln City Council.",Card Index,,,1569,,,,Lincoln Heritage Database Sources,,,,,
03b29372-0816-4df6-b363-ce1a54e12f77,,,,,,,Trustees of British Museum,,,,,,,,,,,,,,,,"Catalogue of the Romano-British iron tools, fittings and weapons in the British Museum",Catalogue,,,680,,,,Lincoln Heritage Database Sources,,,1985,,"Manning, W. H."
0472701a-9893-487b-8ac6-84700bd404ce,,,,,,,,,,,The National Archives,,,,,,In National Archives MPC 1/275. Digital copy in file,,,,,,"A Plan of the Castle of Lincoln (Plan of Lincoln Castle, Lincolnshire, and buildings and lands outside of the castle walls belonging to the Duchy of Lancaster)",Map,,,2950,,,,Lincoln Heritage Database Sources,,,1812,,Jonathan Teal & Son
0a79f689-8ab4-40d6-87e1-b1d389630bcc,,,,,,,,,,,,,1930,,,,,,,1819,,,"Plan of the City of Lincoln, from a Survey made by Jas S Padley, 1819",Map,,,1148,,,,Lincoln Heritage Database Sources,,,,,"Padley, James Sandby"
0aff89d7-911d-46f2-b5af-167530877595,,,,,,,,,,,Lincoln Museum,,,,,,In Lincoln Museum,,,,,,"Mosaic/tessellated floor, Exchequergate (painting)",Painting,,,1760,,,,Lincoln Heritage Database Sources,,,1879,,"Hewitt, B. A."
0b72f986-4447-476d-91a8-fbbfa29253a4,,,,,,,,,,,,,,,,,,,,,,,Boultham Hall Estate Lincoln,Map,,,2132,,,,Lincoln Heritage Database Sources,,,1916,,Naylor and Sale
0c6ef715-efcb-431c-a6bd-2dce5c72dcac,,,,,,,,,,,,,1788,,,,,,,1784,,,"Lincoln, part of the old house near St Peter at Gowts",Drawing,,,2665,,,,Lincoln Heritage Database Sources,,,,,"Grimm, Samuel Hieronymous"
