ResourceID,Activity Method Type,Spatial Accuracy Qualifier,Compiler Name,Geometry Source,Spatial Metadata Description,Locality,Map Reference Name,Role,Activity Phase Description text,External Cross Reference Source,Activity Phase Description Type,External Cross Reference Notes,Road or Street Name,Town or City,To Date,Date Type,Area Type,Geometry,External Cross Reference Number,Number in Road or Street,Location Description Type,Map Reference Type,Postal Code,Activity Description Language,Activity Name,Activity Type,From Date,Location Description text,Location Description Language,Date of Compilation,Activity Description text,Area Name,File,Activity Description Type,Activity Phase Language,Activity Name Type,Resource ID
000543e8-bfea-40b3-8325-010981f2369e,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.542554016810026 53.2337139891952)),5522,,,,,,Watching Brief at Spring Hill,WATCHING BRIEF,,,,,"Observation of groundworks involved with structural repair, including underpinning. No archaeological deposits were observed.",,,Summary,,Primary,
000543e8-bfea-40b3-8325-010981f2369e,,,,,,,,,,,,,,,,,,,,,,,,,"Castle Mount, Spring Hill",,,,,,,,,,,Site Name,
00239274-5436-4e45-a8cd-dcde5e46c7b1,,,John Herridge,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.538669567225726 53.234268737241)),7898,,,,,,Watching Brief at Bailgate,WATCHING BRIEF,,,,,"Archaeological monitoring and recording (watching brief) of trenches excavated during relining and reconfiguration of water mains. Trench ten of 48. Trench 10, Bailgate. No archaeological deposits were observed.",,,Summary,,Primary,
00239274-5436-4e45-a8cd-dcde5e46c7b1,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2002.235,,,,,,,,,,,,,,,,,,
00239274-5436-4e45-a8cd-dcde5e46c7b1,,,,,,,,,,,,,,,,,,,,,,,,,Westgate Water Mains Replacement,,,,,,,,,,,Site Name,
0035febf-0e1b-4129-b851-dbf4bd0a69b4,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.569075599738482 53.2390425145994)),684,,,,,,Watching Brief at West Common,WATCHING BRIEF,,,,,Trench 1 of two. Renewal of the existing land drainage system allowed a 0.90m deep trench to be watched. Moderately compact grey sandy/clayey earth containing grass (very waterlogged) overlay a layer of clayey sand containing pebbles. No features of finds,,,Summary,,Primary,
0035febf-0e1b-4129-b851-dbf4bd0a69b4,,,,,,,,,,,,,,,,,,,,,,,,,West Common Golf Course,,,,,,,,,,,Site Name,
005213e6-4318-4b95-80e6-5bace9e4346c,,,Michael Dore,,,,,,,Lincoln Heritage Database,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53409855453067 53.2325495286375)),1279,,,,,,Trial Trench at Greestone Stairs,TRIAL TRENCH,,,,,Area 1 of three. Trench 1. All archaeological deposits destroyed by later activity. Clay subsoil almost at ground level. Cellar walls and drains and of the Greestones were recorded.,,,Summary,,Primary,
005213e6-4318-4b95-80e6-5bace9e4346c,,,,,,,,,,Lincoln City and County Museum,,,,,,,,,2006.17,,,,,,,,,,,,,,,,,,
005213e6-4318-4b95-80e6-5bace9e4346c,,,,,,,,,,,,,,,,,,,,,,,,,Greestone Stairs,,,,,,,,,,,Site Name,
