ResourceID,Evidence,Asset Description Type,Heritage Asset Name,Statutory name,Map Reference Type,Dimension Value,Production Technique,Area Type,External Cross Reference Number,Monument Phase,Material Name,Resource ID,Date of Assessment,Designation or Protection Type,Designation or Protection To Date,Area Name,Road or Street Name,Number in Road or Street,Dimension Type,Rights Holder,Role,Geometry,Asset Type,Production Method,Dimension Measurement Unit,Spatial Metadata Description,Occupancy,End of TimeSpan,Locality,Inscription Content,Geometry Source,Postal Code,Description Language,Right Type,External Cross Reference Notes,Organization Name,Caption,Designation Description,Cultural Period,Date of Compilation,File,Designation Description Type,Condition Type,Location Description Type,From Date,Date Type,Asset Description,Image File,Spatial Accuracy Qualifier,Measurement Type,Town or City,Risk Level,External Cross Reference Source,Description Language,Rights Note,To Date,Location Description,Material Type,Grade,Designation Activity Name Type,Inscription Note,Compiler Name,Begin of TimeSpan,Image File,Language,Asset Name Type,Map Reference Name,Created By Actor(s),Designation Activity Name,Designation or Protection From Date
00ad3bdc-f19e-11e9-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,"46 AND 47, STEEP HILL, 1, CHRIST HOSPITAL TERRACE",,,,,,1388795,9b9c6a62-cdc6-4c16-8c22-a10874577369,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53858543 53.23365965)),HOUSE,,,,,,,,,,English,,,,,,MEDIEVAL,,,,,,1170,,"<p>Formerly known as: Aaron the Jew&#39;s House STEEP HILL. Includes: No.1 CHRIST HOSPITAL TERRACE. Also known as: Norman House STEEP HILL. House, now a house and 2 shops. c1170, with late C18 and C19 alterations. Restored 1878 and C20. Dressed stone and brick, with pantile roof and single brick gable and valley stacks. Brick coped gables, gable band, wooden gutter on iron brackets. EXTERIOR: 2 storeys plus basement and garrets, 4 bays. Double range plan. Front has an off-centre round headed doorway with single shafts and crocket capitals, and a truncated gabled hood on mask corbels. To the left, a part-glazed panelled door in a moulded frame, C18, and to its left a shallow bow window with shutters. Beyond, a small casement, partly blocked. To right, a shop window, C19, with pilaster surround and cornice. Above the door, and to its left, a glazing bar sash with a wooden lintel. Beyond, to right, a keel moulded recess with hoodmould, containing a mainly renewed double round headed window with enriched sill band. Beyond, to left, a 2-light sliding sash with wooden lintel. South front, to Christ Hospital Terrace, has 2 gables. To left, a pair of doors with wooden lintel. To right, a plain C18 wooden doorcase with a 6-panel door, and a single glazing bar sash. Above, to left, a glazing bar sash with a wooden lintel in an altered opening. To right, a smaller glazing bar sash. Above again, a glazing bar sash to left, in an altered opening with wooden lintel, and to right, 2 similar windows. In each gable peak, a segment headed blocked window. INTERIOR has a C12 chamfered doorway and tunnel vaulted basement. Dogleg stair with winder, fielded panelled doors and hob grate, C18. This building is particularly important as an example of C12 domestic architecture: Lincolnshire has most of the surviving examples. Although it was formerly known as Aaron the Jew&#39;s house, its connection with him is erroneous. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 518).</p>
",,,,,,National Heritage List for England,English,,,,,Grade I,,,,,,,Statutory,,,,08/10/1953
01c115ae-533a-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,"6, EASTGATE",,,,,,1388515,e8b7ec41-19f7-4c21-b839-3c085c371b00,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53762287 53.23508619)),HOUSE,,,,,,,,,,,,,,,,MEDIEVAL,,,,,,1350,,"<p>Former public house, now an antique shop. C14, with C18 and C20 alterations. Timber framed, with brick and stone underbuild, all rendered, with hipped and gabled plain tile roofs and single ridge and gable stacks. Rendered plinth, wooden gutters, single shouldered coped gable. 2 storeys plus attics, 3 bays. L-plan. Gabled wing to right. Two C20 glazed doors flanked by single recessed C20 bow windows. To left, a carriage opening. Above, to right, a segment headed triple sash. To left, a paired wooden cross casement and a C20 window. Above again, in the gable, a segment headed glazing bar sash. Rear has a near-central stair turret and to its left, a stud wall with a diagonal brace. To north, a range of single storey outbuildings. INTERIOR has a single purlin common rafter roof with wind braces. C18 branching stair with vase and stem balusters. This building was formerly the Black Horse Inn. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 512).<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,08/07/1991
05f1c188-e9d5-11e9-ae3b-066e122e3f0a,EXTANT STRUCTURE,Statutory,CLOSE WALL TO SOUTH AND WEST OF EDWARD KING HOUSE,,,,,,1388682,181f8afb-74a0-41a9-984d-e2b66bba5d7e,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53720306 53.23289656)),TOWN WALL,,,,,,,,,,English,,,,,,MEDIEVAL,,,,,,1200,,"<p>Corner section of Close wall. Late C13, with C18 and C19 alterations. Dressed stone with stepped pantile coping. L-plan, running southwards from the diocesan offices, then eastwards to the remains of the Bishop&#39;s Palace. Approx. 100m x 70m. East-west section has 4 buttresses, and an angle buttress to the south-west. Scheduled Ancient Monument, County No.19. (Buildings of England : Lincolnshire: N Pevsner: Lincolnshire: London: 1989-: 484).</p>
",,,,,,National Heritage List for England,English,,,,,Grade I,,,,,,,Statutory,,,,08/07/1991
0a543fb4-f1a8-11e9-ae3c-066e122e3f0a,EXTANT STRUCTURE,Statutory,MINT WALL,,,,,,1388829,56ac0e14-33fd-498f-93af-22cac359934c,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53931096 53.23611373)),BASILICA,,,,,,,,,,English,,,,,,ROMAN,,,,,,100,,"<p>Section of Roman wall, probably the north wall of a basilica on the north side of the forum. c100, excavated 1980, restored 1991. Coursed rubble with tile bonding courses, putlog holes, and a renewed pantile coping. Approx. 20m long and up to 5m high. Scheduled Ancient Monument, County No.18. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 440 &amp; 516).<br />
&nbsp;</p>
",,,,,,National Heritage List for England,English,,410,,,Grade I,,,,,,,Statutory,,,,08/10/1953
0a5f2bc2-4ced-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,THE LINCOLNSHIRE POACHER PUBLIC HOUSE AND ATTACHED BOUNDARY WALL,,,,,,1388473,72c20b7b-262c-42fd-bdd9-f526bfd9807c,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.50536298 53.24414319)),FARMHOUSE,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1750,,"<p>Formerly known as: No.84 WRAGBY ROAD. Farmhouse, now a house. Late C18, raised mid C19, converted c1994. Yellow brick with hipped slate roof and 4 side wall stacks. Bracketed eaves cornice. 3 storeys, 3 bays. Windows have brick flat arches. Central stuccoed Doric porch with frieze, moulded round headed doorcase with fanlight, and mid C19 panelled door. On either side, a glazing bar sash. Above, on each floor, 3 smaller glazing bar sashes. 2 storey hipped service wing at rear. INTERIOR not inspected. Attached boundary wall to left with ramped coping, approx. 20m long.<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,15/08/1973
0aa342d8-5d48-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,ATTON PLACE,,,,,,1388533,0fbfdc00-b9d5-4f41-aa04-fcad21f5fe18,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53723561 53.23501851000001)),HOUSE,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1550,,"<p>Formerly known as: No.32 Atton Place (John Roberts Design Group) EASTGATE. House, now offices. C16, refronted late C18, with C19 additions. Dressed stone and brick, with stucco front and stone, brick and stucco dressings. Plain tile roof with 2 brick gable stacks. Chamfered plinth, rusticated quoins, sill, impost and first floor bands. 2 storeys plus basement, 5 bays. Central round headed rusticated doorcase with part-glazed panelled door and fanlight, flanked on each side by 2 cellar lights and 2 glazing bar sashes. Above, 5 smaller sashes with brick flat arches. East gable has a thicker walled coped lower part with a cellar opening to right. Above, to left, a C19 tent roofed oriel window. INTERIOR not inspected. This building was used as a clergy residence for the cathedral. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 512).<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,08/10/1953
0cb566cc-4cd7-11ea-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,"3, BEAUMONT FEE",,,,,,1388465,a4d893dc-8c38-4876-b394-588c415bf7af,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.54193456 53.23077904)),HOUSE,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1850,,"<p>House, now offices. Mid C19. Brick with stucco dressings and hipped slate roof with 2 side wall stacks. First floor sill band, bracketed wooden eaves. 3 storeys, 2 bays. West front has a recessed centre with a margin light sash in a rusticated surround with multiple keystones. Above it, a similar window with moulded architrave and cornice on brackets. Above again, a smaller sash with moulded architrave. To the right, a hipped 2 storey addition with a 6-panel door, and above it, a glazing bar sash, both with segmental rubbed brick heads. INTERIOR not inspected.<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,15/08/1973
0f0d3c30-de2b-11e9-ae3b-066e122e3f0a,EXTANT BUILDING,Statutory,THE CHANCERY,THE CHANCERY,,,,,1380559,e8bc88f1-213c-414a-b27b-362c461b8582,,,,Listed Building,,,Minster Yard,11,,,,GEOMETRYCOLLECTION (POINT (-0.5339315700450697 53.23422031956673)),HOUSE,,,,,,,,,,English,,https://historicengland.org.uk/listing/the-list/list-entry/1380559,,,,MEDIEVAL,,,Statutory,,,1321,,"<p>Chancery, and adjoining outbuildings, now a house. C13, C14, late C15, C16, late C17. Altered early C18 and late C19. Rear range has substantial remains of buildings erected in the time of Chancellor Antony Bek, 1321-1329. Street range and parlour wing probably built by Chancellor Geoffrey Simeon, 1485-1506, incorporating the arms of Bishop John Russell, 1480-94. Dressed stone and coursed rubble with brick front and rear additions, timber framed parlour wing with close studding and rendered nogging. Plain tile and slate roofs with various brick stacks. EXTERIOR: 2 and 3 storeys plus basements and attics, L-plan. Front range, 4 bays, has plinth, quoins, string course, and single ridge and gable stacks. Symmetrical section, to left, 3 bays, has central canted stone oriel window with 3 cross casements and crenellated parapet. On either side, a renewed 3-light window with stone mullions and hoodmould. Above, 3 smaller similar windows under C19 through-eaves dormers with coped gables. Basement has 4 openings with stone surrounds the outer pair larger. Entrance bay to the right, has 4-centred arched doorway with hoodmould and studded panelled double doors, c1500. Above, a stone mullioned cross casement with hoodmould. At the rear, in the return angle, parlour wing, 2 storeys plus attics, single bay, jettied on 3 sides. Restored early C20. To its right, medieval solar with early C19 brick front, 3 storeys. Beyond, under 3-bay loggia, 1955, 3 chamfered pointed arched doorways, early C14, the central one restored 1873, formerly the entrances to service rooms and staircase off the medieval hall. Beyond again, former kitchen, 2 storeys, 2 bays, and former outbuildings, now house. INTERIOR: first floor Great Chamber in front range has moulded cross beam ceiling and bosses, c1500, and early C18 moulded panelling, doorcases and fireplace with broken pediment. Enclosure in South-East corner conceals a stone winder stair, c1500, with traceried 3-panel door into entrance passage. Adjoining room to North has early C18 wainscot and bolection moulded fireplace. Front range has a largely intact principal rafter roof, c1500, 4 bays, with double purlins. At the rear of the great chamber, a landing with panelled doors in simply moulded surrounds, and a short staircase with heavy turned balusters and squared newels, all early C18. Parlour wing has a first floor room with a stone panelled fireplace lintel, c1500, and an early C18 cornice and ceiling, covering moulded joists. Ground floor has similar moulded joists and dragon beam. North range has ground floor dining room c1500, with C18 panelling and resited mid C18 Classical fireplace. To East , first floor chapel, C14, altered c1500 and restored C19, with moulded joists, spine beam and boss and close studded West wall incorporating a screen with traceried unglazed lights and door. To South East, an ogee headed piscina and bracket. This building is important as a surviving example of early C14 and late C15 domestic building, and because of its early use of a brick front. In addition to being the official residence of high ranking clergy, it was leased c1381-1397 by Katharine Swinford. (Buildings of England: Lincolnshire:Pevsner N: Lincolnshire: London 1989-: 492-494; Jones S: The Survey of Ancient Houses in Lincoln: 1084-: 51-65)<br />
&nbsp;</p>
",,,,Lincoln,,National Heritage List for England,English,,,,,Grade I,,,,,,,Primary,,,,08/10/1953
13b896b2-f1b8-11e9-ae3c-066e122e3f0a,EXTANT BUILDING,Statutory,JUDGES LODGING AND ATTACHED RAILING,,,,,,1388484,696457a7-2b6d-4838-a609-1d5c2a5eb5c7,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53912456 53.23454725)),JUDGES LODGINGS,,,,,,,,,,English,,,,,,GEORGIAN,,,,,,1810,,"<p>Judges&#39; lodging. c1810. By William Hayward. Yellow stock brick with stone dressings and hipped slate roof. EXTERIOR: plinth, eaves cornice, coped parapet. 2 storeys, 9 bays. Projecting pedimented centre, 3 bays, with central stone doorcase with entablature and 2 Tuscan columns in antis. Fielded panelled double doors with fanlight. Above, a central glazing bar sash, flanked by round headed niches. In the pediment, the Royal arms in Coade stone. The wings have 3 glazing bar sashes on each floor, with brick flat arches. INTERIOR: central entrance hall rising full height, containing a cantilevered wooden open well staircase with 2 stick balusters per tread, and ramped scrolled handrail. Ground floor has a dentilled cornice, and at the rear, a moulded elliptical arched doorway with double doors with shaped glass panels. Dining room, to right, has chair rail, frieze, moulded cornice, mid C19 marble fireplace, and shutters. At one end, and elliptical arched recess with moulded surround and blank fanlight. Drawing room, to left, of similar design, has panelled wainscot and walls, and painted slate fireplace with overmantel mirror. First floor landing and bedrooms have moulded cornices and 6-panel doors. Right bedroom has a mid C19 marble fireplace. Outside, attached iron railing has stepped stone plinth, curved ends and central double gate. (Buildings of England : Lincolnshire: Pevsner N: Lincolnshire: London: 1989-: 517).</p>
",,,,,,National Heritage List for England,English,,,,,Grade II*,,,,,,,Statutory,,,,09/10/2053
16c90482-58b4-11ea-ae3c-066e122e3f0a,EXTANT STRUCTURE,Statutory,BOUNDARY STONE ATTACHED TO WALL OPPOSITE NUMBER 17,,,,,,1388524,a795cb13-4761-4e6f-95dd-6315f33ff9d8,,,,Listed Building,,,,,,,,GEOMETRYCOLLECTION (POINT (-0.53424629 53.23524249)),BOUNDARY STONE,,,,,,,,,,,,,,,,POST MEDIEVAL,,,,,,1750,,"<p>Boundary stone. Mid C18. Ashlar. Square post with the remains of the City arms on the north side. Approx. 1m high.<br />
&nbsp;</p>
",,,,,,National Heritage List for England,,,,,,Grade II,,,,,,,Statutory,,,,08/07/1991
