ResourceID,Description text,Number in Road or Street,Language,Road or Street Name,External Cross Reference Source,Organization Name,Name Type,Contact point,File,External Cross Reference Number,Postal Code,Contact Point Type,Resource ID,Town or City,External Cross Reference Notes,Description Type,Locality
044c3cde-eabc-4c3d-ae80-7367fbe84d74,,,,,Lincoln Heritage Database Organization Number,Wilson Compton Associates,,,,1043,,,,,,,
14769a8d-58b8-4c7e-b98d-3c6129f4d846,,,,,Lincoln Heritage Database Organization Number,Mike Jarvis Archaeological Services,,,,1027,,,,,,,
150beb21-3695-4894-af3a-95162da699df,,,,,Lincoln Heritage Database Organization Number,Environmental Archaeology Consultancy,,,,1047,,,,,,,
1ad6193b-0f8f-40b1-87f7-4646cb9082bc,,,,,Lincoln Heritage Database Organization Number,W. Watkins and Son,,,,1041,,,,,,,
1bf8c0c2-7b4f-4805-bc52-adf888ad9a4f,,,,,Lincoln Heritage Database Organization Number,Field Archaeology Specialists,,,,1011,,,,,,,
2451a6e4-e35d-4c49-aaa2-879f7f6c2cb7,,,,,Lincoln Heritage Database Organization Number,CgMs,,,,1005,,,,,,,
2588a8a4-d1df-42ce-ae01-af3a7ee0c712,,,,,Lincoln Heritage Database Organization Number,Gifford and Partners,,,,1013,,,,,,,
327bc1bd-933e-4302-b689-d4f444af5f97,,,,,Lincoln Heritage Database Organization Number,Planning and Environmental Services Ltd,,,,1032,,,,,,,
3661effa-641c-47bb-99c6-00ecbb249d4b,,,,,Lincoln Heritage Database Organization Number,TLP Ground Investigations,,,,1038,,,,,,,
3b32a109-67ce-4e71-ae3a-a4008637da03,,,,,Lincoln Heritage Database Organization Number,Wessex Archaeology,,,,1042,,,,,,,
3e91ffaf-b8d6-40c1-a3eb-8ba036cd85ee,,,,,Lincoln Heritage Database Organization Number,Lincoln Archaeological Research Committee,,,,1019,,,,,,,
40f1134e-16b4-4a91-846e-90f6032bdbe2,,,,,Lincoln Heritage Database Organization Number,UCA,,,,1040,,,,,,,
479648c6-cd8e-486d-b549-c9f8e49ff904,,,,,Lincoln Heritage Database Organization Number,Oxford Archaeotechnics,,,,1031,,,,,,,
4bb25f08-745d-406f-aede-369fcfc54918,,,,,Lincoln Heritage Database Organization Number,FAS Heritage,,,,1010,,,,,,,
4bff7126-f53a-4167-831c-23cc1c873c65,,,,,Lincoln Heritage Database Organization Number,Institute of Geological Sciences,,,,1014,,,,,,,
5146e170-b879-483b-82af-db37e641ba17,,,,,Lincoln Heritage Database Organization Number,Archaeological Project Services,,,,1003,,,,,,,
56cc9ddf-d570-4e49-b323-a19d2747f1db,,,,,Lincoln Heritage Database Organization Number,Matrix Archaeology,,,,1026,,,,,,,
570ed374-cdfd-4f3d-b49c-a8c4b6ca2a3b,,,,,Lincoln Heritage Database Organization Number,Society for Lincolnshire History and Archaeology,,,,1036,,,,,,,
64fe17fb-2972-4840-b5a4-92cb80014345,,,,,Lincoln Heritage Database Organization Number,Lincoln Civic Trust,,,,1022,,,,,,,
67555b25-b2b4-453c-bf7a-4f8d15cb097e,,,,,Lincoln Heritage Database Organization Number,Witham Archaeology,,,,1044,,,,,,,
68d5fdb1-2180-4828-88c0-678f10e87ceb,,,,,Lincoln Heritage Database Organization Number,Geophysical Surveys of Bradford,,,,1012,,,,,,,
6d48b709-daf5-4dc6-a53e-4abe4c41f973,,,,,Lincoln Heritage Database Organization Number,Royal Commission on the Historical Monuments of England,,,,1035,,,,,,,
6e3ff6da-a804-4b93-bbca-d31b4033fbb6,,,,,Lincoln Heritage Database Organization Number,Lincs Archaeo-tech,,,,1023,,,,,,,
7bd1ccce-4391-4e53-b415-c8f7eba6f89e,"<p><a href=""https://www.archaeologists.net/ro/421-archaeological-services-wyas"">https://www.archaeologists.net/ro/421-archaeological-services-wyas</a></p>
",,,Nepshaw Lane South,,Archaeological Services WYAS,Primary,0113 535 0163,,,LS27 7JQ,Work phone,,Morley,,Notes,
