,ResourceID,Statement of Responsibility,Language,Publisher,Date of Publication,Publication Location Name,Contributor,Subject(s),Bibliographic Item Description text,Bibliographic Source Title,Page(s),Resource ID,Language.1,External Cross Reference Source,Title Type,External Cross Reference Number,Journal or Serial ,Bibliographic Source Type,External Cross Reference Notes,Copyright Type,Editor,Volume number/part,Copyright Description,File,Author,Period(s),Bibliographic Item Description Type
0,0009e6bc-2002-48c3-86a9-d3cceaf7503c,,English,Lincoln Archaeological Research Committee,1946.0,,,Archaeology,,North Row,,0009e6bc-2002-48c3-86a9-d3cceaf7503c,English,Lincoln Heritage Database (Sources),Primary,1071,,Article,,,,,,,,ROMAN,
1,0009e6bc-2002-48c3-86a9-d3cceaf7503c,,English,,,,,,,,,,English,,,,,,,,,,,,,,
2,00199d1e-1486-44c9-9755-6ffbfde54de0,,English,Archaeological Institute of Great Britain and Ireland,1892.0,,,,,Archaeological Journal 49,,00199d1e-1486-44c9-9755-6ffbfde54de0,English,Lincoln Heritage Database (Sources),Primary,4212,,Journal,,,,,,,,,
3,00199d1e-1486-44c9-9755-6ffbfde54de0,,English,,,,,,,,,,English,,,,,,,,,,,,,,
4,00638528-23e5-11e9-ae3b-066e122e3f0a,"<p>R. D. Savage</p>
",English,Pre-Construct Archaeological Services LTD,2014.0,Lincoln,,Archaeology,"<p>Archaeological monitoring and recording was undertaken during the excavation of service trenches associated with an extension to Harvest House, Carhome Road, Lincoln.</p>
","HARVEST HOUSE, NO. 126, CARHOLME ROAD, LINCOLN. SCHEME OF ARCHAEOLOGICAL MONITORING AND RECORDING",,,English,Lincoln City Planning System,Primary,2011/1080/F,,Watching Brief Report,,,,,,,b3bf1695-e34b-428a-8a27-6604026bab73,POST MEDIEVAL,Full
5,009de187-a601-4b9a-8df5-bad4d0c8167d,"Colyer, C.",English,,1975.0,,,,,Lincoln: the archaeology of an historic city,,009de187-a601-4b9a-8df5-bad4d0c8167d,English,Lincoln Heritage Database (Sources),Primary,88,,Article,,,,,,,,,
6,009de187-a601-4b9a-8df5-bad4d0c8167d,,English,,,,,,,,,,English,,,,,,,,,,,,,,
7,00e92fd0-e86c-4137-8087-83a3c7762dfd,"Hill, F.",English,Archaeological Institute of Great Britain and Ireland,1975.0,,,,,The Stonebow,,00e92fd0-e86c-4137-8087-83a3c7762dfd,English,Lincoln Heritage Database (Sources),Primary,2257,,Article,,,,,,,,,
8,00e92fd0-e86c-4137-8087-83a3c7762dfd,,English,,,,,,,,,,English,,,,,,,,,,,,,,
9,00f86ac0-aaeb-4c0a-ab54-066f0b5f115e,"Leahy, K. A.",English,,1984.0,,,,,Late Roman and Early Germanic Belt Fittings from Lincolnshire,,00f86ac0-aaeb-4c0a-ab54-066f0b5f115e,English,Lincoln Heritage Database (Sources),Primary,338,,Volume,,,,,,,,,
10,00f86ac0-aaeb-4c0a-ab54-066f0b5f115e,,English,,,,,,,,,,English,,,,,,,,,,,,,,
11,01439f6c-3568-43dd-b807-7dcbd765b70a,"Dinnin, M. and Buckland, P. C.",English,,1989.0,,,,,"A Preliminary Note upon the Environmental Evidence from the St Marks Goodyard Site, Lincoln",,01439f6c-3568-43dd-b807-7dcbd765b70a,English,Lincoln Heritage Database (Sources),Primary,1125,,Report,,,,,,,,,
12,01439f6c-3568-43dd-b807-7dcbd765b70a,,English,,,,,,,,,,English,,,,,,,,,,,,,,
13,014809a0-cfed-4c53-8ecf-4197ad9e8ec9,"Hodson, M. B.",English,"Hodson, M. B.",1987.0,,,,,Lincoln Then and Now Vol. 3,,014809a0-cfed-4c53-8ecf-4197ad9e8ec9,English,Lincoln Heritage Database (Sources),Primary,1566,,Volume,,,,,,,,,
14,014809a0-cfed-4c53-8ecf-4197ad9e8ec9,,English,,,,,,,,,,English,,,,,,,,,,,,,,
15,014e87ec-3ced-406a-8775-67f37fe119a6,"Elliot, H.  and Stocker, D. A.",English,,1984.0,,,,,Lincoln Castle: A Guide,,014e87ec-3ced-406a-8775-67f37fe119a6,English,Lincoln Heritage Database (Sources),Primary,162,,Guide Book,,,,,,,,,
16,014e87ec-3ced-406a-8775-67f37fe119a6,,English,,,,,,,,,,English,,,,,,,,,,,,,,
17,0155c8c4-2548-4498-a84c-d5062a0698e1,"Roberts, D. L.",English,Archaeological Institute of Great Britain and Ireland,1975.0,,,,,"The Cardinal's Hat, 268 High Street, Lincoln",,0155c8c4-2548-4498-a84c-d5062a0698e1,English,Lincoln Heritage Database (Sources),Primary,2254,,Article,,,,,,,,,
18,0155c8c4-2548-4498-a84c-d5062a0698e1,,English,,,,,,,,,,English,,,,,,,,,,,,,,
19,015d1afe-ed92-4f24-b4f5-fc525ea8fcb9,"Gilbert, B.",English,Lincolnshire Publishing Company,1914.0,,,,,Living Lincoln,,015d1afe-ed92-4f24-b4f5-fc525ea8fcb9,English,Lincoln Heritage Database (Sources),Primary,2938,,Volume,,,,,,,,,
20,015d1afe-ed92-4f24-b4f5-fc525ea8fcb9,,English,,,,,,,,,,English,,,,,,,,,,,,,,
21,019273a2-dcdd-43f7-9ba9-3b7477e98a1d,"Miller, Louise, Schofield, John & Rhodes, Michael",English,London and Middlesex Archaeological Society,1986.0,,,,,"The Roman Quay at St Magnus House, London: Excavations at New Fresh Wharf, Lower Thames Street, London 1974-78, London and Middlesex Archaeological Society Spec Pap, 8",,019273a2-dcdd-43f7-9ba9-3b7477e98a1d,English,Lincoln Heritage Database (Sources),Primary,4079,,Volume,,,,,,,,,
22,019273a2-dcdd-43f7-9ba9-3b7477e98a1d,,English,,,,,,,,,,English,,,,,,,,,,,,,,
23,019fa7c8-21df-4379-924f-458d7d117eb0,"Hockley, John",English,City of Lincoln Archaeology Unit,1993.0,,,Archaeology,,Archaeology and Planning: The Future of the Past,,019fa7c8-21df-4379-924f-458d7d117eb0,English,Lincoln Heritage Database (Sources),Primary,234,,Article,,,,,,,,,
24,019fa7c8-21df-4379-924f-458d7d117eb0,,English,,,,,,,,,,English,,,,,,,,,,,,,,
25,01c0315f-8e81-43a4-98a2-8ff8feaa86f9,,English,,1994.0,,,,,Oxoniensia 59,,01c0315f-8e81-43a4-98a2-8ff8feaa86f9,English,Lincoln Heritage Database (Sources),Primary,4350,,Journal,,,,,,,,,
26,01c0315f-8e81-43a4-98a2-8ff8feaa86f9,,English,,,,,,,,,,English,,,,,,,,,,,,,,
27,01e53774-7289-407f-b547-1bdba28c728b,"Langdale-Smith, T. S.",English,Allen Archaeological Associates,2005.0,,,,,An Assessment of the Potential Leaching of Cement Materiaal from CFA Piles into Archaeological Deposits,,01e53774-7289-407f-b547-1bdba28c728b,English,Lincoln Heritage Database (Sources),Primary,2106,,Watching Brief Report,,,,,,,,,
28,01e53774-7289-407f-b547-1bdba28c728b,,English,,,,,,,,,,English,,,,,,,,,,,,,,
29,01e605f1-53dc-4478-9243-fc367995f3d6,"Baker, F. T.",English,Archaeological Institute of Great Britain and Ireland,1975.0,,,,,Newport Arch: East Gate: Lincoln Castle,,01e605f1-53dc-4478-9243-fc367995f3d6,English,Lincoln Heritage Database (Sources),Primary,2252,,Article,,,,,,,,,
30,01e605f1-53dc-4478-9243-fc367995f3d6,,English,,,,,,,,,,English,,,,,,,,,,,,,,
31,01f0b44a-5ab5-40b8-9e85-4721c0e5fe39,"White, H. P.",English,Railway and Canal Historical Society,1991.0,,,,,Journal of the Railway and Canal Historical Society 30,,01f0b44a-5ab5-40b8-9e85-4721c0e5fe39,English,Lincoln Heritage Database (Sources),Primary,4338,,Journal,,,,,,,,,
32,01f0b44a-5ab5-40b8-9e85-4721c0e5fe39,,English,,,,,,,,,,English,,,,,,,,,,,,,,
33,01f2a6d3-17a9-466c-9b3d-4c2933e93ab5,"Savage, S.",English,PCAS Archaeology,2007.0,,,,,"45 & 47 St Catherines, Lincoln, photographic building survey (Level 1)",,01f2a6d3-17a9-466c-9b3d-4c2933e93ab5,English,Lincoln Heritage Database (Sources),Primary,2792,,Building Recording Report,,,,,,,,,
34,01f2a6d3-17a9-466c-9b3d-4c2933e93ab5,,English,,,,,,,,,,English,,,,,,,,,,,,,,
35,021843a8-a6d0-422f-a1da-906d49ed6213,"Harris, Roger",English,,1994.0,,,,,"Guildhall and Stonebow, Lincoln. A Report on the condition of external stonework and sculptures, with recommendations for their recommendations for their cleaning and conservation.",,021843a8-a6d0-422f-a1da-906d49ed6213,English,Lincoln Heritage Database (Sources),Primary,1586,,Building Recording Report,,,,,,,,,
36,021843a8-a6d0-422f-a1da-906d49ed6213,,English,,,,,,,,,,English,,,,,,,,,,,,,,
37,0235513d-9b53-4c90-99f9-38f49663b0ad,"Carle, A.",English,Society for Lincolnshire History and Archaeology,2005.0,,,,,"Notes and Queries. C W Pennel, Sir William Tritton and the tank",,0235513d-9b53-4c90-99f9-38f49663b0ad,English,Lincoln Heritage Database (Sources),Primary,2416,,Article,,,,,,,,,
38,0235513d-9b53-4c90-99f9-38f49663b0ad,,English,,,,,,,,,,English,,,,,,,,,,,,,,
39,023c8ef8-6cb3-4595-aa52-2933c1c86261,"Foster, C. W.",English,Associated Architectural Societies,1925.0,,,,,"The Chantry Certificates for Lincoln and Lincolnshire, returned in 1548, under the Act of Parliament of I Edward VI",,023c8ef8-6cb3-4595-aa52-2933c1c86261,English,Lincoln Heritage Database (Sources),Primary,183,,Article,,,,,,,,,
40,023c8ef8-6cb3-4595-aa52-2933c1c86261,,English,,,,,,,,,,English,,,,,,,,,,,,,,
41,025a0dea-ff71-4712-8a23-ade5bc1cfdc6,"Tann, G.Field, N. and Rackham, J.",English,Lindsey Archaeological Services,2007.0,,,,,"Land to the south of Brayford Pool, Lincoln. Archaeological Desk-Based Assessment",,025a0dea-ff71-4712-8a23-ade5bc1cfdc6,English,Lincoln Heritage Database (Sources),Primary,2090,,Deskbased Survey Report,,,,,,,,,
42,025a0dea-ff71-4712-8a23-ade5bc1cfdc6,,English,,,,,,,,,,English,,,,,,,,,,,,,,
43,02649c08-b542-44a0-b35c-364fc67aad28,Land Use Consultants,English,,1998.0,,,,,"The Arboretum, Lincoln. An application to the Heritage Lottery Fund Urban Parks Programme, prepared by Land Use Consultants for The City of Lincoln",,02649c08-b542-44a0-b35c-364fc67aad28,English,Lincoln Heritage Database (Sources),Primary,2602,,Report,,,,,,,,,
44,02649c08-b542-44a0-b35c-364fc67aad28,,English,,,,,,,,,,English,,,,,,,,,,,,,,
45,026533cf-5383-4583-8cfb-766cc1fe920f,,English,Archaeological Institute of Great Britain and Ireland,1876.0,,,,,Archaeological Journal 33,,026533cf-5383-4583-8cfb-766cc1fe920f,English,Lincoln Heritage Database (Sources),Primary,4200,,Journal,,,,,,,,,
46,026533cf-5383-4583-8cfb-766cc1fe920f,,English,,,,,,,,,,English,,,,,,,,,,,,,,
47,0279d9a0-d136-4a59-a54d-14304ce8abbd,"Price, J. and Cottam, S.",English,Unpublished,1993.0,,,,,Roman vessel and window glass report,,0279d9a0-d136-4a59-a54d-14304ce8abbd,English,Lincoln Heritage Database (Sources),Primary,631,,Report,,,,,,,,,
48,0279d9a0-d136-4a59-a54d-14304ce8abbd,,English,,,,,,,,,,English,,,,,,,,,,,,,,
49,027e1d7d-2a7a-49e6-a610-803469606ea2,"Taylor, M.",English,Unpublished,1987.0,,,,,Wood report,,027e1d7d-2a7a-49e6-a610-803469606ea2,English,Lincoln Heritage Database (Sources),Primary,646,,Report,,,,,,,,,
50,027e1d7d-2a7a-49e6-a610-803469606ea2,,English,,,,,,,,,,English,,,,,,,,,,,,,,
51,028935bf-db06-4640-92ab-6d56670805c3,"Hockley, J. and Wragg, K.",English,City of Lincoln Archaeology Unit,1994.0,,,,,"Site of Proposed University College of Lincolnshire, Brayford South, Lincoln. Evaluation Addendum Report.",,028935bf-db06-4640-92ab-6d56670805c3,English,Lincoln Heritage Database (Sources),Primary,1254,,Evaluation Report,,,,,,,,,
52,028935bf-db06-4640-92ab-6d56670805c3,,English,,,,,,,,,,English,,,,,,,,,,,,,,
53,02ab2ff2-387c-4498-8115-7a6a4e1d7803,"Field, N. and George, I.",English,Society for Lincolnshire History and Archaeology,1996.0,,,,,Lincoln: Land to the west of Michaelgate,,02ab2ff2-387c-4498-8115-7a6a4e1d7803,English,Lincoln Heritage Database (Sources),Primary,1373,,Article,,,,,,,,,
54,02ab2ff2-387c-4498-8115-7a6a4e1d7803,,English,,,,,,,,,,English,,,,,,,,,,,,,,
55,02bad04a-2f6d-4e0f-8c42-3e85b1dba27d,"Donel, Lisa",English,City of Lincoln Archaeology Unit,1993.0,,,,,Lincoln Castle,,02bad04a-2f6d-4e0f-8c42-3e85b1dba27d,English,Lincoln Heritage Database (Sources),Primary,133,,Article,,,,,,,,,
56,02bad04a-2f6d-4e0f-8c42-3e85b1dba27d,,English,,,,,,,,,,English,,,,,,,,,,,,,,
57,02d0edf9-9bb5-4e58-8434-803d23f8b301,"Herridge, J.",English,The Survey of Lincoln,2006.0,,,,,Industry,,02d0edf9-9bb5-4e58-8434-803d23f8b301,English,Lincoln Heritage Database (Sources),Primary,2442,,Article,,,,,,,,,
58,02d0edf9-9bb5-4e58-8434-803d23f8b301,,English,,,,,,,,,,English,,,,,,,,,,,,,,
59,02f7872f-fa68-42a9-b191-b2dde954bb6c,"Barley, M. W.",English,Society of Antiquaries,1964.0,,,Archaeology,,The medieval borough of Torksey: excavations 1960-62,,02f7872f-fa68-42a9-b191-b2dde954bb6c,English,Lincoln Heritage Database (Sources),Primary,902,,Article,,,,,,,,MEDIEVAL,
60,02f7872f-fa68-42a9-b191-b2dde954bb6c,,English,,,,,,,,,,English,,,,,,,,,,,,,,
61,030d5bfa-1a2c-4759-aba2-6d03ca208ada,"Sympson, Edward Mansel",English,,1906.0,,,,,"Ancient Cities, Lincoln",,030d5bfa-1a2c-4759-aba2-6d03ca208ada,English,Lincoln Heritage Database (Sources),Primary,1076,,Volume,,,,,,,,,
62,030d5bfa-1a2c-4759-aba2-6d03ca208ada,,English,,,,,,,,,,English,,,,,,,,,,,,,,
63,03106fc4-35f8-4f04-a3ee-809fd4d51ccd,"Steane, Kate",English,City of Lincoln Archaeology Unit,1990.0,,,,,Wigford from the Roman to the late Saxon period,,03106fc4-35f8-4f04-a3ee-809fd4d51ccd,English,Lincoln Heritage Database (Sources),Primary,433,,Article,,,,,,,,,
64,03106fc4-35f8-4f04-a3ee-809fd4d51ccd,,English,,,,,,,,,,English,,,,,,,,,,,,,,
65,032349da-3174-4e33-941a-e2cbff79a9ac,"Malone, S..",English,Archaeological Project Services,2007.0,,,Archaeology,,"Archaeological Investigations at 29-31 The Strait, Lincoln",,032349da-3174-4e33-941a-e2cbff79a9ac,English,Lincoln Heritage Database (Sources),Primary,2076,,Watching Brief Report,,,,,,,,MEDIEVAL,
66,032349da-3174-4e33-941a-e2cbff79a9ac,,,,,,,Archaeology,,,,,,,,,,,,,,,,,,POST MEDIEVAL,
67,032349da-3174-4e33-941a-e2cbff79a9ac,,English,,,,,,,,,,English,,,,,,,,,,,,,,
68,03350bf6-945a-4d79-bf07-291bfbdf86f4,"Willson, E. J.",English,Archaeological Institute of Great Britain and Ireland,1850.0,,,,,"The Ancient Episcopal Palace, Lincoln",,03350bf6-945a-4d79-bf07-291bfbdf86f4,English,Lincoln Heritage Database (Sources),Primary,1158,,Volume,,,,,,,,,
69,03350bf6-945a-4d79-bf07-291bfbdf86f4,,English,,,,,,,,,,English,,,,,,,,,,,,,,
70,0343cb91-61ec-48ce-aa00-270df7f9543e,"Donel, L.",English,City of Lincoln Archaeology Unit,1993.0,,,,,Castle/Lawn Link,,0343cb91-61ec-48ce-aa00-270df7f9543e,English,Lincoln Heritage Database (Sources),Primary,150,,Watching Brief Report,,,,,,,,,
71,0343cb91-61ec-48ce-aa00-270df7f9543e,,English,,,,,,,,,,English,,,,,,,,,,,,,,
72,0356cd77-ddf1-4ff7-b7af-60aaf2b7ee1a,"Camidge, K.",English,Trust for Lincolnshire Archaeology,1987.0,,,,,The Lawn,,0356cd77-ddf1-4ff7-b7af-60aaf2b7ee1a,English,Lincoln Heritage Database (Sources),Primary,71,,Article,,,,,,,,,
