,ResourceID,Language,Description Type,Postal Code,Description text,Statement of Significance,Language.1,Town or City,Name Type,Type,Name,Image File,Locality,Number in Road or Street,Element,File,Road or Street Name,Geometry,Statement of Responsibility,Date of Assessment,Description Type.1,Type.1,Condition Type
0,1988e8a2-15ef-11ea-ae3c-066e122e3f0a,,,LN2 1HW,"<p>Three storied brick with stuccoed dressings in an &ldquo;Italianate&rdquo; style. c.1850. Three bays with the&nbsp; central bay being formed by a double Venetian style tripartite window. Dentilled eaves with ornamented shaped rustication at the sides of the building. Three string-courses running between the windows. The second-floor windows with curved hoods. The first floor windows are pedimented with elaborately ornamented consoles or brackets supporting the pediments. Modern shop front. The facade is in the style of the local architect Pearson Bellamy, but there is no documentary evidence that supports an attribution to him.</p>
",,,Lincoln,Primary,Architectural Merit,255 High Street,,,255.0,,"[{""status"": ""uploaded"", ""index"": 0, ""name"": ""IMG_1350ed.jpg"", ""url"": ""/files/uploadedfiles/IMG_1350ed.jpg"", ""lastModified"": 1568538204074, ""height"": 3456, ""content"": ""blob:https://arcade.lincoln.gov.uk/1adb14ea-6b1b-4459-b325-52dd3db0a19a"", ""width"": 5184, ""file_id"": ""d991957c-15ef-11ea-ae3c-066e122e3f0a"", ""accepted"": True, ""type"": ""image/jpeg"", ""size"": 9387703}, {""status"": ""uploaded"", ""index"": 0, ""name"": ""IMG_1310.JPG"", ""url"": ""/files/uploadedfiles/IMG_1310.JPG"", ""lastModified"": 1568193647000, ""height"": 3456, ""content"": ""blob:https://arcade.lincoln.gov.uk/76d547ab-d450-402d-a003-a71ef8727524"", ""width"": 5184, ""file_id"": ""0e760ae8-15f0-11ea-ae3c-066e122e3f0a"", ""accepted"": True, ""type"": ""image/jpeg"", ""size"": 6031022}]",High Street,GEOMETRYCOLLECTION (POINT (-0.539864629667278 53.23096753794263)),,,,Architectural Merit,
1,1988e8a2-15ef-11ea-ae3c-066e122e3f0a,,,,,,,,,SHOP,,,,,,,,,,,,SHOP,
2,32e25ebe-088e-11ea-ae3c-066e122e3f0a,Modern English,Summary,LN5 7PY,,"<p>If Roman, a rare asset. If post-medieval boundary stone (re-set), one of seven in the city. If a milestone, unique in the city.</p>
",Modern English,Lincoln,Primary,"Rarity,Historic Merit","Milestone, 111 High Street","[{u'status': u'uploaded', u'index': 0, u'name': u'IMG_1327.jpg', u'url': u'/files/uploadedfiles/IMG_1327_7tjAKbD.jpg', u'lastModified': 1550926345396, u'content': u'blob:https://arcade.lincoln.gov.uk/c8472b39-dd64-47d1-a15c-f587867df470', u'file_id': u'f582530a-092b-11ea-ae3c-066e122e3f0a', u'accepted': True, u'type': u'image/jpeg', u'size': 1513999}]",Lincolnshire,111.0,,"[{""status"": ""uploaded"", ""index"": 0, ""name"": ""Boundary stone_111 High Street.pdf"", ""url"": ""/files/uploadedfiles/Boundary_stone_111_High_Street.pdf"", ""lastModified"": 1574191920624, ""content"": ""blob:https://arcade.lincoln.gov.uk/83224e50-9f57-44d0-93cd-bbe18d1c3875"", ""file_id"": ""56225f6a-0b03-11ea-ae3c-066e122e3f0a"", ""accepted"": True, ""type"": ""application/pdf"", ""size"": 180390}]",High Street,GEOMETRYCOLLECTION (POINT (-0.5443869680988485 53.22195447513414)),John Herridge,17/11/2019,Summary,"Rarity,Historic Merit",Poor
3,32e25ebe-088e-11ea-ae3c-066e122e3f0a,,,,,,,,,,,,,,,"[{""status"": ""uploaded"", ""index"": 0, ""name"": ""StPeter at Gowts HCA_118 High Street_milestone_ed.jpg"", ""url"": ""/files/uploadedfiles/StPeter_at_Gowts_HCA_118_High_Street_milestone_ed.jpg"", ""lastModified"": 1574113958765, ""content"": ""blob:https://arcade.lincoln.gov.uk/d5960aad-2544-40ea-bfeb-e3e73313380b"", ""file_id"": ""07aff741-0b01-11ea-ae3c-066e122e3f0a"", ""accepted"": True, ""type"": ""image/jpeg"", ""size"": 8502939}]",,,,,,,
4,32e25ebe-088e-11ea-ae3c-066e122e3f0a,,,,,,,,,,,"[{u'status': u'uploaded', u'index': 0, u'name': u'IMG_1327.jpg', u'url': u'/files/uploadedfiles/IMG_1327.jpg', u'lastModified': 1550926345396, u'content': u'blob:https://arcade.lincoln.gov.uk/ec70507d-15b9-402e-a563-6ec39544b2e5', u'file_id': u'88957700-088f-11ea-ae3c-066e122e3f0a', u'accepted': True, u'type': u'image/jpeg', u'size': 1513999}]",,,,,,,,,,,
5,32e25ebe-088e-11ea-ae3c-066e122e3f0a,,,,,,,,,Historic Merit,,,,,,,,,,,,Historic Merit,
6,32e25ebe-088e-11ea-ae3c-066e122e3f0a,,,,,,,,,MILESTONE,,,,,,,,,,,,MILESTONE,
7,3e58e794-0d6c-11ea-ae3c-066e122e3f0a,,,,,,,Lincoln,Primary,SALVATION ARMY HALL,Salvation Army Citadel,,,106.0,,"[{""status"": ""uploaded"", ""index"": 0, ""name"": ""StBotolphs HCA_106 High Street_Salvation Army Citadel.JPG"", ""url"": ""/files/uploadedfiles/StBotolphs_HCA_106_High_Street_Salvation_Army_Citadel.JPG"", ""lastModified"": 1572349807000, ""content"": ""blob:https://arcade.lincoln.gov.uk/ff923bfe-3a9d-4b38-9628-416392897c5e"", ""file_id"": ""c0a50ce6-0d6c-11ea-ae3c-066e122e3f0a"", ""accepted"": True, ""type"": ""image/jpeg"", ""size"": 6981837}]",High Street,GEOMETRYCOLLECTION (POINT (-0.5446076981599788 53.22185560245737)),Richard Croft,,,SALVATION ARMY HALL,
8,637f3284-5cd2-11ea-ae3c-066e122e3f0a,,,,,,,Lincoln,Primary,,Anti-Tank wall,,,,,"[{""status"": ""uploaded"", ""index"": 0, ""name"": ""Anti-tank wall.pdf"", ""url"": ""/files/uploadedfiles/Anti-tank_wall.pdf"", ""lastModified"": 1583186858071, ""content"": ""blob:https://arcade.lincoln.gov.uk/d45779c9-018b-4662-ab07-0b4b2988b962"", ""file_id"": ""16591c76-5cd3-11ea-ae3c-066e122e3f0a"", ""accepted"": True, ""type"": ""application/pdf"", ""size"": 396349}, {""status"": ""uploaded"", ""index"": 0, ""name"": ""Lincoln_Burton Road CA_anti tank defences.JPG"", ""url"": ""/files/uploadedfiles/Lincoln_Burton_Road_CA_anti_tank_defences.JPG"", ""lastModified"": 1543315094000, ""height"": 3456, ""content"": ""blob:https://arcade.lincoln.gov.uk/908b5418-cb29-4a3a-b02c-e9b2f0fad2fd"", ""width"": 5184, ""file_id"": ""38791694-5cd3-11ea-ae3c-066e122e3f0a"", ""accepted"": True, ""type"": ""image/jpeg"", ""size"": 7007453}]",Corner Upper Long Leys Road & Mill Road,,Richard Croft,,,,
9,6fd7757c-0bc0-11ea-ae3c-066e122e3f0a,English,Summary,,"<p>Unaltered Arts &amp; Crafts Garden Suburb house of 1919 in a row of 4; rendered front, steep pitched roof with tall chimneys, windows immediately below the eaves. Original 1919 door and fenestration, possible unaltered render colour. The front garden embraces the Garden Suburb principles of hedges without fences or walls.</p>

<p>The only surviving example retaining the original doors and windows of 113 houses built 1919-20 in the first and only phase of the development of Swanpool Garden Suburb. Exceptionally well maintained and preserved, known locally to be the home of a professional painter &amp; decorator.</p>

<p>Number 33 and its immediate neighbours in the row of 4 represent archetypal examples of the architectural style of the 1919 building phase. The group of 4 present a unique contrast of number 33 with 31, 35 &amp; 37 which display typical subsequent changes in fenestration, doors and colour.</p>
","<p>Swanpool Garden Suburb is the only example of garden city suburb development in Lincolnshire. Adherent to the principles of the Tudor Walters Report of 1918, designed in the Arts &amp; Crafts style by architects Thompson, Hennell &amp; James of London. Colonel J.S.Ruston was the catalyst for the foundation of the Swanpool Co-operative Housing Society Ltd. in 1919 to provide affordable housing for industrial workers.</p>

<p>Number 33, immediate neighbours (31,35 &amp; 37) are exemplars of the first phase of development.</p>

<p>Swanpool Garden Suburb is a rare example of an early 20th century City suburb of social housing built by private enterprise, built 1919-20 in the Arts &amp; Crafts style with steep-pitched roofs, tall chimneys and rendered frontages.</p>

<p>Although Swanpool Garden Suburb enjoys statutory protection as Conservation Area 11, 33 Hartsholme Drive is the only remaining example of the 113 original houses to retain the primary fenestration, door and unpainted rendered front and serves as the exemplar for the original scheme.</p>
",English,Lincoln,"Primary,Pseudonym","Architectural Merit,Historic Merit",33 Hartsholme Drive,,,33.0,,"[{""status"": ""uploaded"", ""index"": 0, ""name"": ""Swanpool pic_01.jpg"", ""url"": ""/files/uploadedfiles/Swanpool_pic_01.jpg"", ""lastModified"": 1573736914831, ""height"": 1965, ""content"": ""blob:https://arcade.lincoln.gov.uk/14c26ad2-aa43-40c0-b671-be6739532c19"", ""width"": 3908, ""file_id"": ""667a11bc-0bc8-11ea-ae3c-066e122e3f0a"", ""accepted"": True, ""type"": ""image/jpeg"", ""size"": 5043777}, {""status"": ""uploaded"", ""index"": 0, ""name"": ""33 Hartsholme Drive.pdf"", ""url"": ""/files/uploadedfiles/33_Hartsholme_Drive.pdf"", ""lastModified"": 1574276604581, ""content"": ""blob:https://arcade.lincoln.gov.uk/1cc42137-fa26-4a11-be71-026c62bb492c"", ""file_id"": ""7ac67bc4-0bc8-11ea-ae3c-066e122e3f0a"", ""accepted"": True, ""type"": ""application/pdf"", ""size"": 429246}]","Hartsholme Drive, Swanpool",GEOMETRYCOLLECTION (POINT (-0.5792327475834611 53.21612534323867)),Richard Croft,,Summary,"Architectural Merit,Historic Merit",
