ResourceID,Statement of Responsibility,Language,Publisher,Date of Publication,Publication Location Name,Contributor,Subject(s),Bibliographic Item Description text,Bibliographic Source Title,Page(s),Resource ID,Language,External Cross Reference Source,Title Type,External Cross Reference Number,Journal or Serial ,Bibliographic Source Type,External Cross Reference Notes,Copyright Type,Editor,Volume number/part,Copyright Description,File,Author,Period(s),Bibliographic Item Description Type
0009e6bc-2002-48c3-86a9-d3cceaf7503c,,English,Lincoln Archaeological Research Committee,1946,,,Archaeology,,North Row,,0009e6bc-2002-48c3-86a9-d3cceaf7503c,English,Lincoln Heritage Database (Sources),Primary,1071,,Article,,,,,,,,ROMAN,
0009e6bc-2002-48c3-86a9-d3cceaf7503c,,English,,,,,,,,,,English,,,,,,,,,,,,,,
00199d1e-1486-44c9-9755-6ffbfde54de0,,English,Archaeological Institute of Great Britain and Ireland,1892,,,,,Archaeological Journal 49,,00199d1e-1486-44c9-9755-6ffbfde54de0,English,Lincoln Heritage Database (Sources),Primary,4212,,Journal,,,,,,,,,
00199d1e-1486-44c9-9755-6ffbfde54de0,,English,,,,,,,,,,English,,,,,,,,,,,,,,
00638528-23e5-11e9-ae3b-066e122e3f0a,"<p>R. D. Savage</p>
",English,Pre-Construct Archaeological Services LTD,2014,Lincoln,,Archaeology,"<p>Archaeological monitoring and recording was undertaken during the excavation of service trenches associated with an extension to Harvest House, Carhome Road, Lincoln.</p>
","HARVEST HOUSE, NO. 126, CARHOLME ROAD, LINCOLN. SCHEME OF ARCHAEOLOGICAL MONITORING AND RECORDING",,,English,Lincoln City Planning System,Primary,2011/1080/F,,Watching Brief Report,,,,,,,b3bf1695-e34b-428a-8a27-6604026bab73,POST MEDIEVAL,Full
009de187-a601-4b9a-8df5-bad4d0c8167d,"Colyer, C.",English,,1975,,,,,Lincoln: the archaeology of an historic city,,009de187-a601-4b9a-8df5-bad4d0c8167d,English,Lincoln Heritage Database (Sources),Primary,88,,Article,,,,,,,,,
009de187-a601-4b9a-8df5-bad4d0c8167d,,English,,,,,,,,,,English,,,,,,,,,,,,,,
00e92fd0-e86c-4137-8087-83a3c7762dfd,"Hill, F.",English,Archaeological Institute of Great Britain and Ireland,1975,,,,,The Stonebow,,00e92fd0-e86c-4137-8087-83a3c7762dfd,English,Lincoln Heritage Database (Sources),Primary,2257,,Article,,,,,,,,,
00e92fd0-e86c-4137-8087-83a3c7762dfd,,English,,,,,,,,,,English,,,,,,,,,,,,,,
00f86ac0-aaeb-4c0a-ab54-066f0b5f115e,"Leahy, K. A.",English,,1984,,,,,Late Roman and Early Germanic Belt Fittings from Lincolnshire,,00f86ac0-aaeb-4c0a-ab54-066f0b5f115e,English,Lincoln Heritage Database (Sources),Primary,338,,Volume,,,,,,,,,
00f86ac0-aaeb-4c0a-ab54-066f0b5f115e,,English,,,,,,,,,,English,,,,,,,,,,,,,,
01439f6c-3568-43dd-b807-7dcbd765b70a,"Dinnin, M. and Buckland, P. C.",English,,1989,,,,,"A Preliminary Note upon the Environmental Evidence from the St Marks Goodyard Site, Lincoln",,01439f6c-3568-43dd-b807-7dcbd765b70a,English,Lincoln Heritage Database (Sources),Primary,1125,,Report,,,,,,,,,
01439f6c-3568-43dd-b807-7dcbd765b70a,,English,,,,,,,,,,English,,,,,,,,,,,,,,
014809a0-cfed-4c53-8ecf-4197ad9e8ec9,"Hodson, M. B.",English,"Hodson, M. B.",1987,,,,,Lincoln Then and Now Vol. 3,,014809a0-cfed-4c53-8ecf-4197ad9e8ec9,English,Lincoln Heritage Database (Sources),Primary,1566,,Volume,,,,,,,,,
014809a0-cfed-4c53-8ecf-4197ad9e8ec9,,English,,,,,,,,,,English,,,,,,,,,,,,,,
014e87ec-3ced-406a-8775-67f37fe119a6,"Elliot, H.  and Stocker, D. A.",English,,1984,,,,,Lincoln Castle: A Guide,,014e87ec-3ced-406a-8775-67f37fe119a6,English,Lincoln Heritage Database (Sources),Primary,162,,Guide Book,,,,,,,,,
014e87ec-3ced-406a-8775-67f37fe119a6,,English,,,,,,,,,,English,,,,,,,,,,,,,,
0155c8c4-2548-4498-a84c-d5062a0698e1,"Roberts, D. L.",English,Archaeological Institute of Great Britain and Ireland,1975,,,,,"The Cardinal's Hat, 268 High Street, Lincoln",,0155c8c4-2548-4498-a84c-d5062a0698e1,English,Lincoln Heritage Database (Sources),Primary,2254,,Article,,,,,,,,,
0155c8c4-2548-4498-a84c-d5062a0698e1,,English,,,,,,,,,,English,,,,,,,,,,,,,,
015d1afe-ed92-4f24-b4f5-fc525ea8fcb9,"Gilbert, B.",English,Lincolnshire Publishing Company,1914,,,,,Living Lincoln,,015d1afe-ed92-4f24-b4f5-fc525ea8fcb9,English,Lincoln Heritage Database (Sources),Primary,2938,,Volume,,,,,,,,,
015d1afe-ed92-4f24-b4f5-fc525ea8fcb9,,English,,,,,,,,,,English,,,,,,,,,,,,,,
019273a2-dcdd-43f7-9ba9-3b7477e98a1d,"Miller, Louise, Schofield, John & Rhodes, Michael",English,London and Middlesex Archaeological Society,1986,,,,,"The Roman Quay at St Magnus House, London: Excavations at New Fresh Wharf, Lower Thames Street, London 1974-78, London and Middlesex Archaeological Society Spec Pap, 8",,019273a2-dcdd-43f7-9ba9-3b7477e98a1d,English,Lincoln Heritage Database (Sources),Primary,4079,,Volume,,,,,,,,,
019273a2-dcdd-43f7-9ba9-3b7477e98a1d,,English,,,,,,,,,,English,,,,,,,,,,,,,,
019fa7c8-21df-4379-924f-458d7d117eb0,"Hockley, John",English,City of Lincoln Archaeology Unit,1993,,,Archaeology,,Archaeology and Planning: The Future of the Past,,019fa7c8-21df-4379-924f-458d7d117eb0,English,Lincoln Heritage Database (Sources),Primary,234,,Article,,,,,,,,,
019fa7c8-21df-4379-924f-458d7d117eb0,,English,,,,,,,,,,English,,,,,,,,,,,,,,
01c0315f-8e81-43a4-98a2-8ff8feaa86f9,,English,,1994,,,,,Oxoniensia 59,,01c0315f-8e81-43a4-98a2-8ff8feaa86f9,English,Lincoln Heritage Database (Sources),Primary,4350,,Journal,,,,,,,,,
01c0315f-8e81-43a4-98a2-8ff8feaa86f9,,English,,,,,,,,,,English,,,,,,,,,,,,,,
01e53774-7289-407f-b547-1bdba28c728b,"Langdale-Smith, T. S.",English,Allen Archaeological Associates,2005,,,,,An Assessment of the Potential Leaching of Cement Materiaal from CFA Piles into Archaeological Deposits,,01e53774-7289-407f-b547-1bdba28c728b,English,Lincoln Heritage Database (Sources),Primary,2106,,Watching Brief Report,,,,,,,,,
01e53774-7289-407f-b547-1bdba28c728b,,English,,,,,,,,,,English,,,,,,,,,,,,,,
01e605f1-53dc-4478-9243-fc367995f3d6,"Baker, F. T.",English,Archaeological Institute of Great Britain and Ireland,1975,,,,,Newport Arch: East Gate: Lincoln Castle,,01e605f1-53dc-4478-9243-fc367995f3d6,English,Lincoln Heritage Database (Sources),Primary,2252,,Article,,,,,,,,,
01e605f1-53dc-4478-9243-fc367995f3d6,,English,,,,,,,,,,English,,,,,,,,,,,,,,
01f0b44a-5ab5-40b8-9e85-4721c0e5fe39,"White, H. P.",English,Railway and Canal Historical Society,1991,,,,,Journal of the Railway and Canal Historical Society 30,,01f0b44a-5ab5-40b8-9e85-4721c0e5fe39,English,Lincoln Heritage Database (Sources),Primary,4338,,Journal,,,,,,,,,
01f0b44a-5ab5-40b8-9e85-4721c0e5fe39,,English,,,,,,,,,,English,,,,,,,,,,,,,,
01f2a6d3-17a9-466c-9b3d-4c2933e93ab5,"Savage, S.",English,PCAS Archaeology,2007,,,,,"45 & 47 St Catherines, Lincoln, photographic building survey (Level 1)",,01f2a6d3-17a9-466c-9b3d-4c2933e93ab5,English,Lincoln Heritage Database (Sources),Primary,2792,,Building Recording Report,,,,,,,,,
01f2a6d3-17a9-466c-9b3d-4c2933e93ab5,,English,,,,,,,,,,English,,,,,,,,,,,,,,
021843a8-a6d0-422f-a1da-906d49ed6213,"Harris, Roger",English,,1994,,,,,"Guildhall and Stonebow, Lincoln. A Report on the condition of external stonework and sculptures, with recommendations for their recommendations for their cleaning and conservation.",,021843a8-a6d0-422f-a1da-906d49ed6213,English,Lincoln Heritage Database (Sources),Primary,1586,,Building Recording Report,,,,,,,,,
021843a8-a6d0-422f-a1da-906d49ed6213,,English,,,,,,,,,,English,,,,,,,,,,,,,,
0235513d-9b53-4c90-99f9-38f49663b0ad,"Carle, A.",English,Society for Lincolnshire History and Archaeology,2005,,,,,"Notes and Queries. C W Pennel, Sir William Tritton and the tank",,0235513d-9b53-4c90-99f9-38f49663b0ad,English,Lincoln Heritage Database (Sources),Primary,2416,,Article,,,,,,,,,
0235513d-9b53-4c90-99f9-38f49663b0ad,,English,,,,,,,,,,English,,,,,,,,,,,,,,
023c8ef8-6cb3-4595-aa52-2933c1c86261,"Foster, C. W.",English,Associated Architectural Societies,1925,,,,,"The Chantry Certificates for Lincoln and Lincolnshire, returned in 1548, under the Act of Parliament of I Edward VI",,023c8ef8-6cb3-4595-aa52-2933c1c86261,English,Lincoln Heritage Database (Sources),Primary,183,,Article,,,,,,,,,
023c8ef8-6cb3-4595-aa52-2933c1c86261,,English,,,,,,,,,,English,,,,,,,,,,,,,,
025a0dea-ff71-4712-8a23-ade5bc1cfdc6,"Tann, G.Field, N. and Rackham, J.",English,Lindsey Archaeological Services,2007,,,,,"Land to the south of Brayford Pool, Lincoln. Archaeological Desk-Based Assessment",,025a0dea-ff71-4712-8a23-ade5bc1cfdc6,English,Lincoln Heritage Database (Sources),Primary,2090,,Deskbased Survey Report,,,,,,,,,
025a0dea-ff71-4712-8a23-ade5bc1cfdc6,,English,,,,,,,,,,English,,,,,,,,,,,,,,
02649c08-b542-44a0-b35c-364fc67aad28,Land Use Consultants,English,,1998,,,,,"The Arboretum, Lincoln. An application to the Heritage Lottery Fund Urban Parks Programme, prepared by Land Use Consultants for The City of Lincoln",,02649c08-b542-44a0-b35c-364fc67aad28,English,Lincoln Heritage Database (Sources),Primary,2602,,Report,,,,,,,,,
02649c08-b542-44a0-b35c-364fc67aad28,,English,,,,,,,,,,English,,,,,,,,,,,,,,
026533cf-5383-4583-8cfb-766cc1fe920f,,English,Archaeological Institute of Great Britain and Ireland,1876,,,,,Archaeological Journal 33,,026533cf-5383-4583-8cfb-766cc1fe920f,English,Lincoln Heritage Database (Sources),Primary,4200,,Journal,,,,,,,,,
026533cf-5383-4583-8cfb-766cc1fe920f,,English,,,,,,,,,,English,,,,,,,,,,,,,,
0279d9a0-d136-4a59-a54d-14304ce8abbd,"Price, J. and Cottam, S.",English,Unpublished,1993,,,,,Roman vessel and window glass report,,0279d9a0-d136-4a59-a54d-14304ce8abbd,English,Lincoln Heritage Database (Sources),Primary,631,,Report,,,,,,,,,
0279d9a0-d136-4a59-a54d-14304ce8abbd,,English,,,,,,,,,,English,,,,,,,,,,,,,,
027e1d7d-2a7a-49e6-a610-803469606ea2,"Taylor, M.",English,Unpublished,1987,,,,,Wood report,,027e1d7d-2a7a-49e6-a610-803469606ea2,English,Lincoln Heritage Database (Sources),Primary,646,,Report,,,,,,,,,
027e1d7d-2a7a-49e6-a610-803469606ea2,,English,,,,,,,,,,English,,,,,,,,,,,,,,
028935bf-db06-4640-92ab-6d56670805c3,"Hockley, J. and Wragg, K.",English,City of Lincoln Archaeology Unit,1994,,,,,"Site of Proposed University College of Lincolnshire, Brayford South, Lincoln. Evaluation Addendum Report.",,028935bf-db06-4640-92ab-6d56670805c3,English,Lincoln Heritage Database (Sources),Primary,1254,,Evaluation Report,,,,,,,,,
028935bf-db06-4640-92ab-6d56670805c3,,English,,,,,,,,,,English,,,,,,,,,,,,,,
02ab2ff2-387c-4498-8115-7a6a4e1d7803,"Field, N. and George, I.",English,Society for Lincolnshire History and Archaeology,1996,,,,,Lincoln: Land to the west of Michaelgate,,02ab2ff2-387c-4498-8115-7a6a4e1d7803,English,Lincoln Heritage Database (Sources),Primary,1373,,Article,,,,,,,,,
02ab2ff2-387c-4498-8115-7a6a4e1d7803,,English,,,,,,,,,,English,,,,,,,,,,,,,,
02bad04a-2f6d-4e0f-8c42-3e85b1dba27d,"Donel, Lisa",English,City of Lincoln Archaeology Unit,1993,,,,,Lincoln Castle,,02bad04a-2f6d-4e0f-8c42-3e85b1dba27d,English,Lincoln Heritage Database (Sources),Primary,133,,Article,,,,,,,,,
02bad04a-2f6d-4e0f-8c42-3e85b1dba27d,,English,,,,,,,,,,English,,,,,,,,,,,,,,
02d0edf9-9bb5-4e58-8434-803d23f8b301,"Herridge, J.",English,The Survey of Lincoln,2006,,,,,Industry,,02d0edf9-9bb5-4e58-8434-803d23f8b301,English,Lincoln Heritage Database (Sources),Primary,2442,,Article,,,,,,,,,
02d0edf9-9bb5-4e58-8434-803d23f8b301,,English,,,,,,,,,,English,,,,,,,,,,,,,,
02f7872f-fa68-42a9-b191-b2dde954bb6c,"Barley, M. W.",English,Society of Antiquaries,1964,,,Archaeology,,The medieval borough of Torksey: excavations 1960-62,,02f7872f-fa68-42a9-b191-b2dde954bb6c,English,Lincoln Heritage Database (Sources),Primary,902,,Article,,,,,,,,MEDIEVAL,
02f7872f-fa68-42a9-b191-b2dde954bb6c,,English,,,,,,,,,,English,,,,,,,,,,,,,,
030d5bfa-1a2c-4759-aba2-6d03ca208ada,"Sympson, Edward Mansel",English,,1906,,,,,"Ancient Cities, Lincoln",,030d5bfa-1a2c-4759-aba2-6d03ca208ada,English,Lincoln Heritage Database (Sources),Primary,1076,,Volume,,,,,,,,,
030d5bfa-1a2c-4759-aba2-6d03ca208ada,,English,,,,,,,,,,English,,,,,,,,,,,,,,
03106fc4-35f8-4f04-a3ee-809fd4d51ccd,"Steane, Kate",English,City of Lincoln Archaeology Unit,1990,,,,,Wigford from the Roman to the late Saxon period,,03106fc4-35f8-4f04-a3ee-809fd4d51ccd,English,Lincoln Heritage Database (Sources),Primary,433,,Article,,,,,,,,,
03106fc4-35f8-4f04-a3ee-809fd4d51ccd,,English,,,,,,,,,,English,,,,,,,,,,,,,,
032349da-3174-4e33-941a-e2cbff79a9ac,"Malone, S..",English,Archaeological Project Services,2007,,,Archaeology,,"Archaeological Investigations at 29-31 The Strait, Lincoln",,032349da-3174-4e33-941a-e2cbff79a9ac,English,Lincoln Heritage Database (Sources),Primary,2076,,Watching Brief Report,,,,,,,,MEDIEVAL,
032349da-3174-4e33-941a-e2cbff79a9ac,,,,,,,Archaeology,,,,,,,,,,,,,,,,,,POST MEDIEVAL,
032349da-3174-4e33-941a-e2cbff79a9ac,,English,,,,,,,,,,English,,,,,,,,,,,,,,
03350bf6-945a-4d79-bf07-291bfbdf86f4,"Willson, E. J.",English,Archaeological Institute of Great Britain and Ireland,1850,,,,,"The Ancient Episcopal Palace, Lincoln",,03350bf6-945a-4d79-bf07-291bfbdf86f4,English,Lincoln Heritage Database (Sources),Primary,1158,,Volume,,,,,,,,,
03350bf6-945a-4d79-bf07-291bfbdf86f4,,English,,,,,,,,,,English,,,,,,,,,,,,,,
0343cb91-61ec-48ce-aa00-270df7f9543e,"Donel, L.",English,City of Lincoln Archaeology Unit,1993,,,,,Castle/Lawn Link,,0343cb91-61ec-48ce-aa00-270df7f9543e,English,Lincoln Heritage Database (Sources),Primary,150,,Watching Brief Report,,,,,,,,,
0343cb91-61ec-48ce-aa00-270df7f9543e,,English,,,,,,,,,,English,,,,,,,,,,,,,,
0356cd77-ddf1-4ff7-b7af-60aaf2b7ee1a,"Camidge, K.",English,Trust for Lincolnshire Archaeology,1987,,,,,The Lawn,,0356cd77-ddf1-4ff7-b7af-60aaf2b7ee1a,English,Lincoln Heritage Database (Sources),Primary,71,,Article,,,,,,,,,
0356cd77-ddf1-4ff7-b7af-60aaf2b7ee1a,,English,,,,,,,,,,English,,,,,,,,,,,,,,
036e6efd-90be-4719-918c-54e01733124a,,English,Society for Lincolnshire History and Archaeology,1999,,,,,"Lincoln: The Sessions House, Monks Road",,036e6efd-90be-4719-918c-54e01733124a,English,Lincoln Heritage Database (Sources),Primary,1643,,Article,,,,,,,,,
036e6efd-90be-4719-918c-54e01733124a,,English,,,,,,,,,,English,,,,,,,,,,,,,,
03865446-7762-4118-8bca-45017415a9c2,"Jarvis, M.",English,City of Lincoln Archaeology Unit,2003,,,,,"The Former Anchor Street Works, Anchor Street, Lincoln. Archaeological Evaluation. Interim Report",,03865446-7762-4118-8bca-45017415a9c2,English,Lincoln Heritage Database (Sources),Primary,1754,,Evaluation Report,,,,,,,,,
03865446-7762-4118-8bca-45017415a9c2,,English,,,,,,,,,,English,,,,,,,,,,,,,,
0392fe20-5f43-4e43-8cb9-ed81e0099962,,English,Society for the Promotion of Roman Studies,1924,,,,,Roman Britain in 1924,,0392fe20-5f43-4e43-8cb9-ed81e0099962,English,Lincoln Heritage Database (Sources),Primary,1179,,Article,,,,,,,,,
0392fe20-5f43-4e43-8cb9-ed81e0099962,,English,,,,,,,,,,English,,,,,,,,,,,,,,
039b9e0a-ee9d-44a4-ae0c-2a387288282e,"Heslop, T. A.",English,Society of Antiquaries,1986,,,,,A walrus ivory seal matrix from Lincoln (late 11th century),,039b9e0a-ee9d-44a4-ae0c-2a387288282e,English,Lincoln Heritage Database (Sources),Primary,226,,Article,,,,,,,,,
039b9e0a-ee9d-44a4-ae0c-2a387288282e,,English,,,,,,,,,,English,,,,,,,,,,,,,,
039d67b5-65e5-4446-8662-e9edf1304766,"Gilmour, B. J. J. and Stocker, D. A.",English,Council for British Archaeology,1986,,,,,St Marks Church and Cemetery,,039d67b5-65e5-4446-8662-e9edf1304766,English,Lincoln Heritage Database (Sources),Primary,191,,Series,,,,,,,,,
039d67b5-65e5-4446-8662-e9edf1304766,,English,,,,,,,,,,English,,,,,,,,,,,,,,
03a44294-e9f5-41f5-9d08-9b5be18e3aa0,"Szynalska, Karolina",English,,2010,,,,,Sam Scorer. A lesser known architect of the twentieth century,,03a44294-e9f5-41f5-9d08-9b5be18e3aa0,English,Lincoln Heritage Database (Sources),Primary,1435,,Volume,,,,,,,,,
03a44294-e9f5-41f5-9d08-9b5be18e3aa0,,English,,,,,,,,,,English,,,,,,,,,,,,,,
03b85065-88c4-4388-8f93-218077cb6fd8,"Cooper, F. J.",English,,1953,,,,,"Hilton House, Lincoln - A Question of Fashion in Art",,03b85065-88c4-4388-8f93-218077cb6fd8,English,Lincoln Heritage Database (Sources),Primary,2566,,Article,,,,,,,,,
03b85065-88c4-4388-8f93-218077cb6fd8,,English,,,,,,,,,,English,,,,,,,,,,,,,,
03bbd31a-51b2-4c8d-9fc9-d37c6a183c6f,,English,Society for Lincolnshire History and Archaeology,1999,,,,,Lincoln: 323 High Street,,03bbd31a-51b2-4c8d-9fc9-d37c6a183c6f,English,Lincoln Heritage Database (Sources),Primary,1652,,Article,,,,,,,,,
03bbd31a-51b2-4c8d-9fc9-d37c6a183c6f,,English,,,,,,,,,,English,,,,,,,,,,,,,,
03bc7a63-4901-4386-b844-6b44922a08c0,Post Office,English,,1849,,,,,Directory of Lincolnshire,,03bc7a63-4901-4386-b844-6b44922a08c0,English,Lincoln Heritage Database (Sources),Primary,2355,,Volume,,,,,,,,,
03bc7a63-4901-4386-b844-6b44922a08c0,,English,,,,,,,,,,English,,,,,,,,,,,,,,
03d29df6-8fc3-4395-bdaf-729975c76fb0,"Dallas, Carolyn",English,"Field Archaeology Division, Norfolk Museum Service",1993,,,,,Excavations in Thetford by B. K. Davison between 1964 and 1970,,03d29df6-8fc3-4395-bdaf-729975c76fb0,English,Lincoln Heritage Database (Sources),Primary,921,,Series,,,,,,,,,
03d29df6-8fc3-4395-bdaf-729975c76fb0,,English,,,,,,,,,,English,,,,,,,,,,,,,,
03f355a6-739b-43c6-9104-c321b97f5e62,"Brann, M.",English,City of Lincoln Archaeology Unit,1992,,,,,Lincoln Bishops Old Palace 1992 Excavations: Summary Report. Archaeological Recording.,,03f355a6-739b-43c6-9104-c321b97f5e62,English,Lincoln Heritage Database (Sources),Primary,1243,,Excavation Report,,,,,,,,,
03f355a6-739b-43c6-9104-c321b97f5e62,,English,,,,,,,,,,English,,,,,,,,,,,,,,
